"","ID","Case Number","Date","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","District","Ward","Community Area","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location"
"8086",11422947,"JB404874","08/22/2018 11:30:00 PM","035XX W JACKSON BLVD","0560","ASSAULT","SIMPLE","RESIDENCE PORCH/HALLWAY",FALSE,FALSE,"1123","011",28,27,"08A",1152754,1898459,2018,"08/29/2018 04:05:03 PM",41.877227358,-87.714595808,"(41.877227358, -87.714595808)"
"8087",11498354,"JB504253","11/05/2018 11:25:00 AM","016XX W ROSCOE ST","0460","BATTERY","SIMPLE","STREET",FALSE,FALSE,"1922","019",47,6,"08B",1164966,1922643,2018,"11/12/2018 04:33:10 PM",41.943339536,-87.669069134,"(41.943339536, -87.669069134)"
"8088",11419318,"JB400310","08/17/2018 11:00:00 AM","033XX W POTOMAC AVE","0610","BURGLARY","FORCIBLE ENTRY","APARTMENT",FALSE,FALSE,"1422","014",26,23,"05",1153905,1908453,2018,"08/24/2018 04:12:03 PM",41.904629027,-87.71010311,"(41.904629027, -87.71010311)"
"8089",11210857,"JB120344","01/17/2018 05:00:00 PM","079XX S INDIANA AVE","0610","BURGLARY","FORCIBLE ENTRY","RESIDENCE",FALSE,FALSE,"0623","006",6,44,"05",1178970,1852339,2018,"05/04/2018 03:51:04 PM",41.75011125,-87.619744978,"(41.75011125, -87.619744978)"
"8090",11267065,"JB187924","03/16/2018 11:15:50 AM","053XX S HERMITAGE AVE","2024","NARCOTICS","POSS: HEROIN(WHITE)","APARTMENT",TRUE,FALSE,"0932","009",16,61,"18",1165587,1869249,2018,"05/20/2018 03:49:33 PM",41.796808634,-87.668307054,"(41.796808634, -87.668307054)"
"8091",11261592,"JB192892","03/20/2018 12:15:00 PM","095XX S PERRY AVE","1365","CRIMINAL TRESPASS","TO RESIDENCE","RESIDENCE",FALSE,FALSE,"0511","005",21,49,"26",1177291,1841668,2018,"05/04/2018 03:51:04 PM",41.720866733,-87.62621881,"(41.720866733, -87.62621881)"
"8092",11467646,"JB463521","10/05/2018 11:42:00 AM","006XX S DEARBORN ST","0860","THEFT","RETAIL THEFT","CONVENIENCE STORE",TRUE,FALSE,"0123","001",2,32,"06",1176017,1897553,2018,"10/12/2018 03:54:37 PM",41.874249283,-87.629208475,"(41.874249283, -87.629208475)"
"8093",11210009,"JB124231","01/21/2018 01:40:00 AM","062XX N CALIFORNIA AVE","031A","ROBBERY","ARMED: HANDGUN","SIDEWALK",FALSE,FALSE,"2413","024",50,2,"03",1156535,1941356,2018,"05/04/2018 03:51:04 PM",41.99486414,-87.699548581,"(41.99486414, -87.699548581)"
"8094",11402657,"JB378837","08/04/2018 12:00:00 PM","062XX S MICHIGAN AVE","2825","OTHER OFFENSE","HARASSMENT BY TELEPHONE","RESIDENCE",FALSE,FALSE,"0311","003",20,40,"26",1178263,1863570,2018,"08/11/2018 04:12:27 PM",41.780946398,-87.621995369,"(41.780946398, -87.621995369)"
"8095",11427639,"JB410857","08/27/2018 01:30:00 PM","071XX S FRANCISCO AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE",FALSE,TRUE,"0831","008",18,66,"08B",1158274,1857145,2018,"09/03/2018 04:08:41 PM",41.763745644,-87.695454012,"(41.763745644, -87.695454012)"
"8096",11299635,"JB243136","04/29/2018 09:59:00 PM","006XX N CICERO AVE","0560","ASSAULT","SIMPLE","CONVENIENCE STORE",FALSE,FALSE,"1532","015",28,25,"08A",1144251,1903638,2018,"05/06/2018 03:50:33 PM",41.891603117,-87.745686519,"(41.891603117, -87.745686519)"
"8097",11475047,"JB473413","10/12/2018 09:25:00 PM","076XX S MARYLAND AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE",FALSE,TRUE,"0624","006",8,69,"08B",1183224,1854589,2018,"11/16/2018 03:55:15 PM",41.756187611,-87.604086707,"(41.756187611, -87.604086707)"
"8098",11232694,"JB154654","02/06/2018 05:00:00 PM","043XX W JACKSON BLVD","0281","CRIM SEXUAL ASSAULT","NON-AGGRAVATED","APARTMENT",FALSE,FALSE,"1131","011",28,26,"02",1147440,1898332,2018,"05/04/2018 03:51:04 PM",41.876982321,-87.734110736,"(41.876982321, -87.734110736)"
"8099",11293133,"JB234434","04/22/2018 06:00:00 AM","009XX E 46TH ST","2826","OTHER OFFENSE","HARASSMENT BY ELECTRONIC MEANS","RESIDENCE",FALSE,FALSE,"0222","002",4,39,"26",1183336,1874708,2018,"05/04/2018 03:51:04 PM",41.811393328,-87.603050035,"(41.811393328, -87.603050035)"
"8100",11515595,"JB526955","11/24/2018 02:25:00 AM","020XX N WESTERN AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","OTHER",FALSE,FALSE,"1432","014",32,22,"14",1160027,1913848,2018,"12/01/2018 04:09:34 PM",41.919309064,-87.687465976,"(41.919309064, -87.687465976)"
"8101",11543133,"JB563196","12/21/2018 09:51:00 PM","092XX S BLACKSTONE AVE","141B","WEAPONS VIOLATION","UNLAWFUL USE OTHER FIREARM","ALLEY",FALSE,FALSE,"0413","004",8,48,"15",1187729,1844010,2018,"12/28/2018 04:13:27 PM",41.727051807,-87.587912885,"(41.727051807, -87.587912885)"
"8102",11205453,"JB117864","01/16/2018 12:02:00 PM","071XX S VERNON AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT",FALSE,FALSE,"0323","003",6,69,"14",1180479,1857857,2018,"05/04/2018 03:51:04 PM",41.765218761,-87.614046316,"(41.765218761, -87.614046316)"
"8103",11240260,"JB164909","02/25/2018 01:50:00 PM","025XX N NARRAGANSETT AVE","0860","THEFT","RETAIL THEFT","GROCERY FOOD STORE",FALSE,FALSE,"2512","025",36,19,"06",1133317,1916205,2018,"05/04/2018 03:51:04 PM",41.926287021,-87.785547998,"(41.926287021, -87.785547998)"
"8104",11372764,"JB339937","07/07/2018 07:30:00 PM","064XX S HOYNE AVE","0460","BATTERY","SIMPLE","ALLEY",FALSE,FALSE,"0726","007",15,67,"08B",1163467,1862021,2018,"07/14/2018 03:51:39 PM",41.777018808,-87.676283898,"(41.777018808, -87.676283898)"
"8105",11345473,"JB303922","06/06/2018 07:45:00 PM","026XX N HALSTED ST","0810","THEFT","OVER $500","STREET",FALSE,FALSE,"1935","019",43,7,"06",1170489,1917762,2018,"06/15/2018 04:03:08 PM",41.929826624,-87.648912651,"(41.929826624, -87.648912651)"
"8106",11277294,"JB213125","04/05/2018 10:14:00 PM","015XX N LOCKWOOD AVE","0560","ASSAULT","SIMPLE","APARTMENT",FALSE,TRUE,"2532","025",37,25,"08A",1140744,1909791,2018,"05/04/2018 03:51:04 PM",41.90855286,-87.758414854,"(41.90855286, -87.758414854)"
"8107",11473057,"JB470874","10/10/2018 10:15:00 PM","032XX N BROADWAY","0560","ASSAULT","SIMPLE","SIDEWALK",FALSE,FALSE,"1925","019",44,6,"08A",1171684,1921595,2018,"10/17/2018 04:24:56 PM",41.940318272,-87.644408194,"(41.940318272, -87.644408194)"
"8108",11455427,"JB447627","09/23/2018 02:00:00 PM","020XX N DAMEN AVE","0810","THEFT","OVER $500","RESTAURANT",FALSE,FALSE,"1432","014",32,22,"06",1162695,1913757,2018,"09/30/2018 03:57:53 PM",41.919003797,-87.677665964,"(41.919003797, -87.677665964)"
"8109",11410337,"JB388561","08/11/2018 06:41:00 AM","080XX S MORGAN ST","0496","BATTERY","AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST","RESIDENCE PORCH/HALLWAY",FALSE,TRUE,"0621","006",21,71,"04B",1171042,1851524,2018,"08/18/2018 03:57:27 PM",41.748051541,-87.648820356,"(41.748051541, -87.648820356)"
